;;;;;;;;;Total;221;;
;;;;;;;;;Ok;188;;
Análise Monitoramento;;;;;;;Análise Gestão;;Assertividade;85%;;
;;;;;;;;;;;;
Gráfico de Assertividade;Grade;;;;;;Contagem de Assertividade;Grade;;;;
Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral;;Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral
NOK;7;21;10;2;40;;Dentro do dia;7;19;181;2;209
OK;;;181;;181;;NOK;7;19;;2;28
Total Geral;7;21;191;2;221;;OK;;;181;;181
;;;;;;;Fora do dia;;2;10;;12
;;;;;;;NOK;;2;10;;12
;;;;;;;Total Geral;7;21;191;2;221
